Months,Years,Area,Flood,,,,,,,,,,,,,
March,2017,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2017,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
May,2017,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2017,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
July,2017,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
August,2017,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
September,2017,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2017,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2017,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2017,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
Janruary,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
March,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
May,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
July,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
August,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
September,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2018,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
Janruary,2019,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2019,Khyber Pakhtunkhwa,Yes,,,,,,,,,,,,,
March,2019,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2019,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
May,2019,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2019,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
July,2019,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
August,2019,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
September,2019,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2019,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2019,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2019,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
Janruary,2020,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2020,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
March,2020,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2020,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
May,2020,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2020,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
July,2020,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
August,2020,Khyber Pakhtunkhwa,Yes,,,,,,,,,,,,,
September,2020,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2020,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2020,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2020,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
Janruary,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
February,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
March,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
April,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
May,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
June,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
July,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
August,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
September,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
October,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
November,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
December,2021,Khyber Pakhtunkhwa,,,,,,,,,,,,,,
