Months,Years,Area,Flood,,,,,,,,,,,,,
Janruary,2019,Sindh,,,,,,,,,,,,,,
February,2019,Sindh,,,,,,,,,,,,,,
March,2019,Sindh,,,,,,,,,,,,,,
April,2019,Sindh,,,,,,,,,,,,,,
May,2019,Sindh,,,,,,,,,,,,,,
June,2019,Sindh,,,,,,,,,,,,,,
July,2019,Sindh,,,,,,,,,,,,,,
August,2019,Sindh,,,,,,,,,,,,,,
September,2019,Sindh,,,,,,,,,,,,,,
October,2019,Sindh,,,,,,,,,,,,,,
November,2019,Sindh,,,,,,,,,,,,,,
December,2019,Sindh,,,,,,,,,,,,,,
Janruary,2020,Sindh,,,,,,,,,,,,,,
February,2020,Sindh,,,,,,,,,,,,,,
March,2020,Sindh,,,,,,,,,,,,,,
April,2020,Sindh,,,,,,,,,,,,,,
May,2020,Sindh,,,,,,,,,,,,,,
June,2020,Sindh,,,,,,,,,,,,,,
July,2020,Sindh,,,,,,,,,,,,,,
August,2020,Sindh,Yes,,,,,,,,,,,,,
September,2020,Sindh,,,,,,,,,,,,,,
October,2020,Sindh,,,,,,,,,,,,,,
November,2020,Sindh,,,,,,,,,,,,,,
December,2020,Sindh,,,,,,,,,,,,,,
Janruary,2021,Sindh,,,,,,,,,,,,,,
February,2021,Sindh,,,,,,,,,,,,,,
March,2021,Sindh,,,,,,,,,,,,,,
April,2021,Sindh,,,,,,,,,,,,,,
May,2021,Sindh,,,,,,,,,,,,,,
June,2021,Sindh,,,,,,,,,,,,,,
July,2021,Sindh,,,,,,,,,,,,,,
August,2021,Sindh,,,,,,,,,,,,,,
September,2021,Sindh,,,,,,,,,,,,,,
October,2021,Sindh,,,,,,,,,,,,,,
November,2021,Sindh,,,,,,,,,,,,,,
December,2021,Sindh,,,,,,,,,,,,,,
