Months,Years,Area,Flood,,,,,,,,,,,,,
February,2019,Gilgit,,,,,,,,,,,,,,
March,2019,Gilgit,,,,,,,,,,,,,,
April,2019,Gilgit,,,,,,,,,,,,,,
May,2019,Gilgit,,,,,,,,,,,,,,
June,2019,Gilgit,,,,,,,,,,,,,,
July,2019,Gilgit,,,,,,,,,,,,,,
August,2019,Gilgit,,,,,,,,,,,,,,
September,2019,Gilgit,,,,,,,,,,,,,,
October,2019,Gilgit,,,,,,,,,,,,,,
November,2019,Gilgit,,,,,,,,,,,,,,
December,2019,Gilgit,,,,,,,,,,,,,,
Janruary,2020,Gilgit,,,,,,,,,,,,,,
February,2020,Gilgit,,,,,,,,,,,,,,
March,2020,Gilgit,,,,,,,,,,,,,,
April,2020,Gilgit,,,,,,,,,,,,,,
May,2020,Gilgit,,,,,,,,,,,,,,
June,2020,Gilgit,,,,,,,,,,,,,,
July,2020,Gilgit,,,,,,,,,,,,,,
August,2020,Gilgit,,,,,,,,,,,,,,
September,2020,Gilgit,,,,,,,,,,,,,,
October,2020,Gilgit,,,,,,,,,,,,,,
November,2020,Gilgit,,,,,,,,,,,,,,
December,2020,Gilgit,,,,,,,,,,,,,,
Janruary,2021,Gilgit,,,,,,,,,,,,,,
February,2021,Gilgit,,,,,,,,,,,,,,
March,2021,Gilgit,,,,,,,,,,,,,,
April,2021,Gilgit,,,,,,,,,,,,,,
May,2021,Gilgit,,,,,,,,,,,,,,
June,2021,Gilgit,,,,,,,,,,,,,,
July,2021,Gilgit,,,,,,,,,,,,,,
August,2021,Gilgit,,,,,,,,,,,,,,
September,2021,Gilgit,,,,,,,,,,,,,,
October,2021,Gilgit,,,,,,,,,,,,,,
November,2021,Gilgit,,,,,,,,,,,,,,
December,2021,Gilgit,,,,,,,,,,,,,,
